latitude;longitude;lable
43.377452;-4.122347;ALTAMIRA
43.6158299;13.518915;ANCONA
37.4639089;49.4798635;ANZALI
31.804381;34.655314;ASHDOD
-25.2637399;-57.575926;ASUNCION
40.4092617;49.8670924;BAKU
39.2903848;-76.6121893;BALTIMORE
13.7563309;100.5017651;BANGKOK
41.3060796;72.9304171;BAR
41.3850639;2.1734035;BARCELONA
11.0041072;-74.8069813;BARRANQUILLA
43.2630126;-2.9349852;BILBAO
53.8988902;9.1338853;BRUNSBUTTEL
35.1795543;129.0756416;BUSAN
10.7708268;106.7853922;CAT LAI
38.4645245;23.6050695;CHALKIS
32.7764749;-79.9310512;CHARLESTON
22.3475365;91.8123324;CHITTAGONG
44.1598013;28.6348138;CONSTANTA
-6.792354;39.2083284;DAR ES SALAAM
40.776803;29.526321;DILISKELESI
-29.8586804;31.0218404;DURBAN
31.8667427;-116.5963713;ENSENADA
36.0640669;136.2194938;FUKUI
40.9329106;29.5339711;GEBZE
44.4056499;8.946256;GENOA
34.747834;113.022496;GONG Yi, Chine
53.567471;-0.080784;Grimsby, United Kingdom
-2.1709979;-79.9223592;GUAYAQUIL
32.7940463;34.989571;HAIFA
20.8449115;106.6880841;HAIPHONG
36.3966149;140.5346762;HITACHINAKA
10.8230989;106.6296638;HO CHI MINH
59.5115168;10.2170802;HOLMESTRAND
29.7604267;-95.3698028;HOUSTON
31.231763;121.484443;HUANGPU
59.8588621;5.7474728;HUSNES
37.4562557;126.7052062;INCHEON
36.584673;36.1756161;ISKENDERUN
38.423734;27.142826;IZMIR
-6.17511;106.8650395;JAKARTA
22.6350591;120.3355193;KAOHSIUNG
59.2801018;5.3071112;KARMOY
25.1276033;121.7391833;KEELUNG
59.3082327;24.4258028;KEILA
3.044917;101.4455621;KLANG
13.7158569;100.5689948;KLONG TOEY
34.690083;135.1955112;KOBE
22.572646;88.363895;KOLKATA
45.548059;13.7301877;KOPER
32.8031004;130.7078911;KUMAMOTO
34.2486458;132.5654407;KURE
13.1040552;100.9158073;LAEM CHABANG
13.7233786;100.7838827;LAT KRABANG
39.1324488;-76.7420151;LIMAS
14.5995124;120.9842195;MANILA
40.7444257;-73.9845714;MARTAS
36.6646413;53.0835178;MOJI
-4.0434771;39.6682065;MOMBASA
35.1814464;136.906398;NAGOYA
26.2123124;127.6791568;Naha, Okinawa 
37.1858604;138.2550381;NAOETSU
29.9510658;-90.0715323;NEW ORLEANS
18.9499361;72.9511875;NHAVA SHEVA
44.7154014;37.7619669;NOVOROSSIYSK
34.6937378;135.5021651;OSAKA
59.9138688;10.7522454;OSLO
58.6754851;17.0749546;OXELOSUND
5.4163459;100.3327617;PENANG
60.0971421;24.3019778;PIKKALA
43.0563106;17.4310249;PLOCE
42.1582596;41.67137;POTI
10.0042013;-83.0767385;PUERTO MOIN
51.9244201;4.4777325;ROTTERDAM
40.6824408;14.7680961;SALERNO
41.2797031;36.3360667;SAMSUN
-23.9678823;-46.3288865;SANTOS
31.2303904;121.4737021;SHANGHAI
37.8285615;122.2493963;SHIMIZU
43.7350196;15.8952045;SIBENIK
62.6735166;8.5661121;SUNNDALSORA
-7.2574719;112.7520883;SURABAYA
53.4285438;14.5528116;SZCZECIN
24.1477358;120.6736482;TAICHUNG
24.9936281;121.3009798;TAOYUAN
42.6343021;141.6053721;TOMAKOMAI
40.7540553;14.4509125;TORRE ANNUNZIATA
36.6959518;137.2136768;Toyama
45.6495264;13.7768182;TRIESTE
36.8064948;10.1815316;TUNIS
35.5383773;129.3113596;ULSAN
-33.047238;-71.6126885;VALPARISO
43.2140504;27.9147333;VARNA
19.173773;-96.1342241;VERACRUZ
42.2405989;-8.7207268;VIGO
24.479833;118.089425;XIAMEN
39.2306868;45.4544599;YARIMCA
32.5074371;130.6017433;YATSUSHIRO
35.4437078;139.6380256;YOKOHAMA
56.1737661;101.6038976;Bratsk
56.0152834;92.8932476;Krasnoayrsk
